total_gold_earned_0, 54310
total_gold_spent_0, 50360
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 31
total_deaths_0, 34
total_damage_dealt_to_champions_0, 71712
total_damage_dealt_to_objectives_0, 45758
total_damage_taken_0, 116471
average_vision_score_0, 25
total_wards_placed_0, 56
average_creep_score_0, 107
average_champion_experience_0, 12876
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Jayce
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Diana
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Senna
total_gold_earned_1, 61777
total_gold_spent_1, 55435
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 34
total_deaths_1, 31
total_damage_dealt_to_champions_1, 88208
total_damage_dealt_to_objectives_1, 52868
total_damage_taken_1, 92625
average_vision_score_1, 26
total_wards_placed_1, 53
average_creep_score_1, 125
average_champion_experience_1, 15128
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Akshan
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
