total_gold_earned_0, 50046
total_gold_spent_0, 42630
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 28
total_deaths_0, 12
total_damage_dealt_to_champions_0, 62536
total_damage_dealt_to_objectives_0, 56275
total_damage_taken_0, 81937
average_vision_score_0, 16
total_wards_placed_0, 35
average_creep_score_0, 87
average_champion_experience_0, 11110
dmg_carry_0, 164
obj_carry_0, 164
team_comp_0_champ_1, Camille
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Ekko
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Soraka
total_gold_earned_1, 38785
total_gold_spent_1, 36300
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 28
total_damage_dealt_to_champions_1, 47853
total_damage_dealt_to_objectives_1, 15722
total_damage_taken_1, 77545
average_vision_score_1, 10
total_wards_placed_1, 32
average_creep_score_1, 87
average_champion_experience_1, 9489
dmg_carry_1, 126
obj_carry_1, 126
team_comp_1_champ_1, Jayce
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
