total_gold_earned_0, 63118
total_gold_spent_0, 59785
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 39
total_damage_dealt_to_champions_0, 117394
total_damage_dealt_to_objectives_0, 51701
total_damage_taken_0, 155911
average_vision_score_0, 38
total_wards_placed_0, 91
average_creep_score_0, 147
average_champion_experience_0, 15500
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 72211
total_gold_spent_1, 64525
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 39
total_deaths_1, 28
total_damage_dealt_to_champions_1, 118705
total_damage_dealt_to_objectives_1, 100959
total_damage_taken_1, 150744
average_vision_score_1, 34
total_wards_placed_1, 63
average_creep_score_1, 154
average_champion_experience_1, 18341
dmg_carry_1, 10
obj_carry_1, 10
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Viego
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
