total_gold_earned_0, 63885
total_gold_spent_0, 59600
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 37
total_deaths_0, 15
total_damage_dealt_to_champions_0, 105488
total_damage_dealt_to_objectives_0, 93594
total_damage_taken_0, 104357
average_vision_score_0, 26
total_wards_placed_0, 63
average_creep_score_0, 117
average_champion_experience_0, 15155
dmg_carry_0, 115
obj_carry_0, 115
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Ziggs
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Senna
total_gold_earned_1, 50132
total_gold_spent_1, 46035
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 15
total_deaths_1, 37
total_damage_dealt_to_champions_1, 73820
total_damage_dealt_to_objectives_1, 34434
total_damage_taken_1, 132670
average_vision_score_1, 23
total_wards_placed_1, 41
average_creep_score_1, 115
average_champion_experience_1, 12192
dmg_carry_1, 518
obj_carry_1, 518
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Neeko
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
