total_gold_earned_0, 25339
total_gold_spent_0, 20360
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 6
total_damage_dealt_to_champions_0, 19883
total_damage_dealt_to_objectives_0, 18653
total_damage_taken_0, 29885
average_vision_score_0, 8
total_wards_placed_0, 22
average_creep_score_0, 64
average_champion_experience_0, 5958
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, Jax
team_comp_0_champ_3, Lissandra
team_comp_0_champ_4, Yasuo
team_comp_0_champ_5, Brand
total_gold_earned_1, 20733
total_gold_spent_1, 17610
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 6
total_deaths_1, 7
total_damage_dealt_to_champions_1, 18196
total_damage_dealt_to_objectives_1, 865
total_damage_taken_1, 29043
average_vision_score_1, 6
total_wards_placed_1, 19
average_creep_score_1, 52
average_champion_experience_1, 5103
dmg_carry_1, 110
obj_carry_1, 110
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Cassiopeia
team_comp_1_champ_4, Varus
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
