total_gold_earned_0, 20237
total_gold_spent_0, 14050
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 12
total_deaths_0, 3
total_damage_dealt_to_champions_0, 18901
total_damage_dealt_to_objectives_0, 8318
total_damage_taken_0, 25357
average_vision_score_0, 4
total_wards_placed_0, 9
average_creep_score_0, 44
average_champion_experience_0, 4509
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Viego
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Lucian
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Rell
total_gold_earned_1, 14855
total_gold_spent_1, 10710
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 3
total_deaths_1, 12
total_damage_dealt_to_champions_1, 12954
total_damage_dealt_to_objectives_1, 1300
total_damage_taken_1, 22358
average_vision_score_1, 2
total_wards_placed_1, 9
average_creep_score_1, 41
average_champion_experience_1, 3188
dmg_carry_1, 58
obj_carry_1, 58
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Zac
team_comp_1_champ_3, KogMaw
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
