total_gold_earned_0, 63412
total_gold_spent_0, 62175
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 32
total_deaths_0, 40
total_damage_dealt_to_champions_0, 116932
total_damage_dealt_to_objectives_0, 21974
total_damage_taken_0, 172418
average_vision_score_0, 14
total_wards_placed_0, 36
average_creep_score_0, 129
average_champion_experience_0, 14940
dmg_carry_0, 50
obj_carry_0, 50
team_comp_0_champ_1, Camille
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Swain
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 69398
total_gold_spent_1, 62700
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 40
total_deaths_1, 32
total_damage_dealt_to_champions_1, 138222
total_damage_dealt_to_objectives_1, 94157
total_damage_taken_1, 150454
average_vision_score_1, 29
total_wards_placed_1, 60
average_creep_score_1, 126
average_champion_experience_1, 16094
dmg_carry_1, 36
obj_carry_1, 36
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Zed
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
