total_gold_earned_0, 63809
total_gold_spent_0, 54608
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 22
total_damage_dealt_to_champions_0, 81973
total_damage_dealt_to_objectives_0, 85937
total_damage_taken_0, 116934
average_vision_score_0, 31
total_wards_placed_0, 68
average_creep_score_0, 139
average_champion_experience_0, 14825
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Veigar
team_comp_0_champ_5, Bard
total_gold_earned_1, 55840
total_gold_spent_1, 53400
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 34
total_damage_dealt_to_champions_1, 79094
total_damage_dealt_to_objectives_1, 24637
total_damage_taken_1, 108934
average_vision_score_1, 24
total_wards_placed_1, 47
average_creep_score_1, 125
average_champion_experience_1, 13211
dmg_carry_1, 27
obj_carry_1, 27
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Singed
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
