total_gold_earned_0, 37191
total_gold_spent_0, 34668
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 14
total_deaths_0, 33
total_damage_dealt_to_champions_0, 51814
total_damage_dealt_to_objectives_0, 11049
total_damage_taken_0, 88071
average_vision_score_0, 16
total_wards_placed_0, 40
average_creep_score_0, 88
average_champion_experience_0, 8585
dmg_carry_0, 429
obj_carry_0, 429
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Belveth
team_comp_0_champ_3, Lissandra
team_comp_0_champ_4, Kalista
team_comp_0_champ_5, Leona
total_gold_earned_1, 50455
total_gold_spent_1, 47115
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 33
total_deaths_1, 14
total_damage_dealt_to_champions_1, 71331
total_damage_dealt_to_objectives_1, 53353
total_damage_taken_1, 77836
average_vision_score_1, 23
total_wards_placed_1, 50
average_creep_score_1, 94
average_champion_experience_1, 10578
dmg_carry_1, 887
obj_carry_1, 887
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
