total_gold_earned_0, 104611
total_gold_spent_0, 90000
total_baron_kills_0, 4
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 71
total_deaths_0, 42
total_damage_dealt_to_champions_0, 241520
total_damage_dealt_to_objectives_0, 172286
total_damage_taken_0, 250136
average_vision_score_0, 58
total_wards_placed_0, 100
average_creep_score_0, 168
average_champion_experience_0, 26561
dmg_carry_0, 7
obj_carry_0, 7
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Leblanc
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Lulu
total_gold_earned_1, 91287
total_gold_spent_1, 89465
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 42
total_deaths_1, 71
total_damage_dealt_to_champions_1, 201635
total_damage_dealt_to_objectives_1, 78658
total_damage_taken_1, 273960
average_vision_score_1, 42
total_wards_placed_1, 99
average_creep_score_1, 190
average_champion_experience_1, 20981
dmg_carry_1, 30
obj_carry_1, 30
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Karthus
team_comp_1_champ_4, Akshan
team_comp_1_champ_5, Nidalee
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
