total_gold_earned_0, 67510
total_gold_spent_0, 57975
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 36
total_deaths_0, 27
total_damage_dealt_to_champions_0, 139064
total_damage_dealt_to_objectives_0, 78610
total_damage_taken_0, 133188
average_vision_score_0, 27
total_wards_placed_0, 64
average_creep_score_0, 131
average_champion_experience_0, 15802
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Xerath
total_gold_earned_1, 57309
total_gold_spent_1, 53880
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 36
total_damage_dealt_to_champions_1, 104124
total_damage_dealt_to_objectives_1, 67865
total_damage_taken_1, 173201
average_vision_score_1, 26
total_wards_placed_1, 54
average_creep_score_1, 109
average_champion_experience_1, 13415
dmg_carry_1, 27
obj_carry_1, 27
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Singed
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
