total_gold_earned_0, 68934
total_gold_spent_0, 59233
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 49
total_deaths_0, 34
total_damage_dealt_to_champions_0, 128627
total_damage_dealt_to_objectives_0, 67543
total_damage_taken_0, 142963
average_vision_score_0, 25
total_wards_placed_0, 51
average_creep_score_0, 110
average_champion_experience_0, 16098
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Vi
team_comp_0_champ_2, Sejuani
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Swain
total_gold_earned_1, 60080
total_gold_spent_1, 58713
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 34
total_deaths_1, 49
total_damage_dealt_to_champions_1, 120207
total_damage_dealt_to_objectives_1, 40561
total_damage_taken_1, 157607
average_vision_score_1, 22
total_wards_placed_1, 50
average_creep_score_1, 107
average_champion_experience_1, 13177
dmg_carry_1, 61
obj_carry_1, 61
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Orianna
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
