total_gold_earned_0, 37429
total_gold_spent_0, 33585
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 26
total_damage_dealt_to_champions_0, 48937
total_damage_dealt_to_objectives_0, 24043
total_damage_taken_0, 76337
average_vision_score_0, 16
total_wards_placed_0, 37
average_creep_score_0, 75
average_champion_experience_0, 7862
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Thresh
total_gold_earned_1, 40557
total_gold_spent_1, 36900
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 19
total_damage_dealt_to_champions_1, 58862
total_damage_dealt_to_objectives_1, 37916
total_damage_taken_1, 71514
average_vision_score_1, 15
total_wards_placed_1, 38
average_creep_score_1, 80
average_champion_experience_1, 9131
dmg_carry_1, 245
obj_carry_1, 245
team_comp_1_champ_1, Akali
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Alistar
gameLengthMin, 21
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
