total_gold_earned_0, 45308
total_gold_spent_0, 37710
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 11
total_damage_dealt_to_champions_0, 60028
total_damage_dealt_to_objectives_0, 38987
total_damage_taken_0, 64288
average_vision_score_0, 15
total_wards_placed_0, 38
average_creep_score_0, 82
average_champion_experience_0, 9928
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Morgana
total_gold_earned_1, 32309
total_gold_spent_1, 30115
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 34
total_damage_dealt_to_champions_1, 44534
total_damage_dealt_to_objectives_1, 6465
total_damage_taken_1, 78788
average_vision_score_1, 10
total_wards_placed_1, 24
average_creep_score_1, 69
average_champion_experience_1, 7332
dmg_carry_1, 82
obj_carry_1, 82
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Lux
team_comp_1_champ_5, Elise
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
