total_gold_earned_0, 66642
total_gold_spent_0, 57825
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 39
total_deaths_0, 19
total_damage_dealt_to_champions_0, 125920
total_damage_dealt_to_objectives_0, 75612
total_damage_taken_0, 151162
average_vision_score_0, 28
total_wards_placed_0, 59
average_creep_score_0, 131
average_champion_experience_0, 16659
dmg_carry_0, 80
obj_carry_0, 80
team_comp_0_champ_1, Pantheon
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 59095
total_gold_spent_1, 56225
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 19
total_deaths_1, 39
total_damage_dealt_to_champions_1, 108784
total_damage_dealt_to_objectives_1, 49746
total_damage_taken_1, 162742
average_vision_score_1, 33
total_wards_placed_1, 52
average_creep_score_1, 139
average_champion_experience_1, 13444
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Sejuani
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Velkoz
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
