total_gold_earned_0, 61677
total_gold_spent_0, 52320
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 37
total_deaths_0, 11
total_damage_dealt_to_champions_0, 97051
total_damage_dealt_to_objectives_0, 77421
total_damage_taken_0, 86840
average_vision_score_0, 26
total_wards_placed_0, 47
average_creep_score_0, 133
average_champion_experience_0, 14111
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Seraphine
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Nami
total_gold_earned_1, 43693
total_gold_spent_1, 42150
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 37
total_damage_dealt_to_champions_1, 54583
total_damage_dealt_to_objectives_1, 32120
total_damage_taken_1, 116399
average_vision_score_1, 24
total_wards_placed_1, 52
average_creep_score_1, 119
average_champion_experience_1, 11592
dmg_carry_1, 6
obj_carry_1, 6
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Teemo
team_comp_1_champ_3, Urgot
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Amumu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
