total_gold_earned_0, 41861
total_gold_spent_0, 40475
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 27
total_damage_dealt_to_champions_0, 47624
total_damage_dealt_to_objectives_0, 27115
total_damage_taken_0, 84522
average_vision_score_0, 19
total_wards_placed_0, 40
average_creep_score_0, 99
average_champion_experience_0, 9064
dmg_carry_0, 246
obj_carry_0, 246
team_comp_0_champ_1, Riven
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Qiyana
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Pyke
total_gold_earned_1, 48985
total_gold_spent_1, 40450
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 16
total_damage_dealt_to_champions_1, 63599
total_damage_dealt_to_objectives_1, 68471
total_damage_taken_1, 75981
average_vision_score_1, 22
total_wards_placed_1, 57
average_creep_score_1, 101
average_champion_experience_1, 11666
dmg_carry_1, 48
obj_carry_1, 48
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Seraphine
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
