total_gold_earned_0, 61349
total_gold_spent_0, 54875
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 4
total_kills_0, 32
total_deaths_0, 18
total_damage_dealt_to_champions_0, 98687
total_damage_dealt_to_objectives_0, 113568
total_damage_taken_0, 112321
average_vision_score_0, 33
total_wards_placed_0, 50
average_creep_score_0, 122
average_champion_experience_0, 14898
dmg_carry_0, 2
obj_carry_0, 2
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Olaf
team_comp_0_champ_3, Ziggs
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Zilean
total_gold_earned_1, 51203
total_gold_spent_1, 48850
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 32
total_damage_dealt_to_champions_1, 77226
total_damage_dealt_to_objectives_1, 14150
total_damage_taken_1, 136302
average_vision_score_1, 17
total_wards_placed_1, 51
average_creep_score_1, 134
average_champion_experience_1, 14435
dmg_carry_1, 105
obj_carry_1, 105
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Mordekaiser
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Seraphine
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
