total_gold_earned_0, 34381
total_gold_spent_0, 29685
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 8
total_damage_dealt_to_champions_0, 37414
total_damage_dealt_to_objectives_0, 28354
total_damage_taken_0, 48819
average_vision_score_0, 11
total_wards_placed_0, 20
average_creep_score_0, 82
average_champion_experience_0, 7364
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Yone
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Braum
total_gold_earned_1, 26460
total_gold_spent_1, 20725
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 8
total_deaths_1, 25
total_damage_dealt_to_champions_1, 27301
total_damage_dealt_to_objectives_1, 14967
total_damage_taken_1, 47817
average_vision_score_1, 11
total_wards_placed_1, 35
average_creep_score_1, 58
average_champion_experience_1, 5869
dmg_carry_1, 157
obj_carry_1, 157
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
