total_gold_earned_0, 37595
total_gold_spent_0, 36325
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 14
total_deaths_0, 29
total_damage_dealt_to_champions_0, 42649
total_damage_dealt_to_objectives_0, 8299
total_damage_taken_0, 87640
average_vision_score_0, 14
total_wards_placed_0, 40
average_creep_score_0, 102
average_champion_experience_0, 9302
dmg_carry_0, 13
obj_carry_0, 13
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Ryze
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Pyke
total_gold_earned_1, 53398
total_gold_spent_1, 43485
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 29
total_deaths_1, 14
total_damage_dealt_to_champions_1, 70498
total_damage_dealt_to_objectives_1, 87587
total_damage_taken_1, 73722
average_vision_score_1, 16
total_wards_placed_1, 39
average_creep_score_1, 110
average_champion_experience_1, 11328
dmg_carry_1, 23
obj_carry_1, 23
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Maokai
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
