total_gold_earned_0, 47561
total_gold_spent_0, 37550
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 30
total_deaths_0, 10
total_damage_dealt_to_champions_0, 74349
total_damage_dealt_to_objectives_0, 62468
total_damage_taken_0, 65565
average_vision_score_0, 20
total_wards_placed_0, 33
average_creep_score_0, 92
average_champion_experience_0, 10376
dmg_carry_0, 11
obj_carry_0, 11
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Lux
team_comp_0_champ_4, MasterYi
team_comp_0_champ_5, Morgana
total_gold_earned_1, 32516
total_gold_spent_1, 30845
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 10
total_deaths_1, 30
total_damage_dealt_to_champions_1, 40845
total_damage_dealt_to_objectives_1, 6448
total_damage_taken_1, 91972
average_vision_score_1, 14
total_wards_placed_1, 36
average_creep_score_1, 82
average_champion_experience_1, 8560
dmg_carry_1, 266
obj_carry_1, 266
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
