total_gold_earned_0, 25421
total_gold_spent_0, 22300
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 9
total_deaths_0, 30
total_damage_dealt_to_champions_0, 35753
total_damage_dealt_to_objectives_0, 4084
total_damage_taken_0, 62738
average_vision_score_0, 8
total_wards_placed_0, 22
average_creep_score_0, 54
average_champion_experience_0, 5900
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Akali
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Taliyah
total_gold_earned_1, 40473
total_gold_spent_1, 31200
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 30
total_deaths_1, 9
total_damage_dealt_to_champions_1, 52804
total_damage_dealt_to_objectives_1, 42998
total_damage_taken_1, 59486
average_vision_score_1, 8
total_wards_placed_1, 19
average_creep_score_1, 76
average_champion_experience_1, 7838
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Talon
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
