total_gold_earned_0, 31891
total_gold_spent_0, 29780
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 11
total_deaths_0, 16
total_damage_dealt_to_champions_0, 37040
total_damage_dealt_to_objectives_0, 12973
total_damage_taken_0, 55055
average_vision_score_0, 16
total_wards_placed_0, 30
average_creep_score_0, 89
average_champion_experience_0, 7800
dmg_carry_0, 69
obj_carry_0, 69
team_comp_0_champ_1, Ryze
team_comp_0_champ_2, Teemo
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Cassiopeia
team_comp_0_champ_5, Leona
total_gold_earned_1, 38505
total_gold_spent_1, 33010
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 11
total_damage_dealt_to_champions_1, 41474
total_damage_dealt_to_objectives_1, 40953
total_damage_taken_1, 52980
average_vision_score_1, 20
total_wards_placed_1, 48
average_creep_score_1, 89
average_champion_experience_1, 8406
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Irelia
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Brand
gameLengthMin, 20
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
