total_gold_earned_0, 49450
total_gold_spent_0, 42220
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 27
total_deaths_0, 14
total_damage_dealt_to_champions_0, 64850
total_damage_dealt_to_objectives_0, 83186
total_damage_taken_0, 79999
average_vision_score_0, 19
total_wards_placed_0, 36
average_creep_score_0, 94
average_champion_experience_0, 10953
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Maokai
total_gold_earned_1, 38209
total_gold_spent_1, 37150
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 27
total_damage_dealt_to_champions_1, 45305
total_damage_dealt_to_objectives_1, 14657
total_damage_taken_1, 82534
average_vision_score_1, 12
total_wards_placed_1, 33
average_creep_score_1, 86
average_champion_experience_1, 9025
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, LeeSin
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
