total_gold_earned_0, 69009
total_gold_spent_0, 64985
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 52
total_damage_dealt_to_champions_0, 119604
total_damage_dealt_to_objectives_0, 28123
total_damage_taken_0, 146255
average_vision_score_0, 40
total_wards_placed_0, 89
average_creep_score_0, 165
average_champion_experience_0, 17592
dmg_carry_0, 498
obj_carry_0, 498
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, LeeSin
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Thresh
total_gold_earned_1, 78899
total_gold_spent_1, 70550
total_baron_kills_1, 0
total_dragon_kills_1, 5
total_inhibitor_kils_1, 4
total_kills_1, 52
total_deaths_1, 28
total_damage_dealt_to_champions_1, 123404
total_damage_dealt_to_objectives_1, 107799
total_damage_taken_1, 167126
average_vision_score_1, 47
total_wards_placed_1, 83
average_creep_score_1, 152
average_champion_experience_1, 19065
dmg_carry_1, 105
obj_carry_1, 105
team_comp_1_champ_1, Gwen
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
