total_gold_earned_0, 68542
total_gold_spent_0, 65945
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 36
total_damage_dealt_to_champions_0, 144035
total_damage_dealt_to_objectives_0, 75918
total_damage_taken_0, 211275
average_vision_score_0, 27
total_wards_placed_0, 58
average_creep_score_0, 146
average_champion_experience_0, 15384
dmg_carry_0, 31
obj_carry_0, 31
team_comp_0_champ_1, Chogath
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Draven
team_comp_0_champ_5, DrMundo
total_gold_earned_1, 72718
total_gold_spent_1, 67100
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 36
total_deaths_1, 29
total_damage_dealt_to_champions_1, 171548
total_damage_dealt_to_objectives_1, 69971
total_damage_taken_1, 180410
average_vision_score_1, 19
total_wards_placed_1, 41
average_creep_score_1, 158
average_champion_experience_1, 17758
dmg_carry_1, 517
obj_carry_1, 517
team_comp_1_champ_1, Sion
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Karthus
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
