total_gold_earned_0, 64188
total_gold_spent_0, 60285
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 37
total_deaths_0, 50
total_damage_dealt_to_champions_0, 94593
total_damage_dealt_to_objectives_0, 37617
total_damage_taken_0, 148082
average_vision_score_0, 27
total_wards_placed_0, 91
average_creep_score_0, 117
average_champion_experience_0, 13778
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Brand
total_gold_earned_1, 70584
total_gold_spent_1, 63125
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 50
total_deaths_1, 37
total_damage_dealt_to_champions_1, 131382
total_damage_dealt_to_objectives_1, 79482
total_damage_taken_1, 115657
average_vision_score_1, 42
total_wards_placed_1, 83
average_creep_score_1, 125
average_champion_experience_1, 15251
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Malzahar
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
