total_gold_earned_0, 67167
total_gold_spent_0, 56550
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 3
total_kills_0, 44
total_deaths_0, 26
total_damage_dealt_to_champions_0, 110818
total_damage_dealt_to_objectives_0, 49895
total_damage_taken_0, 127992
average_vision_score_0, 35
total_wards_placed_0, 52
average_creep_score_0, 133
average_champion_experience_0, 15418
dmg_carry_0, 133
obj_carry_0, 133
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Kled
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 56168
total_gold_spent_1, 52875
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 44
total_damage_dealt_to_champions_1, 99668
total_damage_dealt_to_objectives_1, 38656
total_damage_taken_1, 133036
average_vision_score_1, 25
total_wards_placed_1, 62
average_creep_score_1, 122
average_champion_experience_1, 13963
dmg_carry_1, 74
obj_carry_1, 74
team_comp_1_champ_1, Heimerdinger
team_comp_1_champ_2, Elise
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
