total_gold_earned_0, 58076
total_gold_spent_0, 53395
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 33
total_deaths_0, 29
total_damage_dealt_to_champions_0, 94850
total_damage_dealt_to_objectives_0, 74647
total_damage_taken_0, 127977
average_vision_score_0, 22
total_wards_placed_0, 52
average_creep_score_0, 100
average_champion_experience_0, 12994
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Ashe
total_gold_earned_1, 53627
total_gold_spent_1, 49725
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 33
total_damage_dealt_to_champions_1, 92550
total_damage_dealt_to_objectives_1, 26521
total_damage_taken_1, 123327
average_vision_score_1, 25
total_wards_placed_1, 56
average_creep_score_1, 112
average_champion_experience_1, 12484
dmg_carry_1, 245
obj_carry_1, 245
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
