total_gold_earned_0, 72918
total_gold_spent_0, 63350
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 38
total_deaths_0, 37
total_damage_dealt_to_champions_0, 160143
total_damage_dealt_to_objectives_0, 51383
total_damage_taken_0, 179457
average_vision_score_0, 33
total_wards_placed_0, 50
average_creep_score_0, 130
average_champion_experience_0, 17030
dmg_carry_0, 15
obj_carry_0, 15
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, FiddleSticks
total_gold_earned_1, 70512
total_gold_spent_1, 65908
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 38
total_damage_dealt_to_champions_1, 149662
total_damage_dealt_to_objectives_1, 90841
total_damage_taken_1, 197703
average_vision_score_1, 32
total_wards_placed_1, 81
average_creep_score_1, 137
average_champion_experience_1, 18426
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, Gnar
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
