total_gold_earned_0, 58485
total_gold_spent_0, 55680
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 32
total_damage_dealt_to_champions_0, 97237
total_damage_dealt_to_objectives_0, 43134
total_damage_taken_0, 117732
average_vision_score_0, 29
total_wards_placed_0, 52
average_creep_score_0, 132
average_champion_experience_0, 14464
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Akali
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Qiyana
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Sona
total_gold_earned_1, 63279
total_gold_spent_1, 57739
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 4
total_kills_1, 32
total_deaths_1, 28
total_damage_dealt_to_champions_1, 87438
total_damage_dealt_to_objectives_1, 96228
total_damage_taken_1, 133741
average_vision_score_1, 31
total_wards_placed_1, 58
average_creep_score_1, 120
average_champion_experience_1, 15280
dmg_carry_1, 240
obj_carry_1, 240
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Mordekaiser
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Veigar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
