total_gold_earned_0, 61702
total_gold_spent_0, 55875
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 4
total_kills_0, 33
total_deaths_0, 18
total_damage_dealt_to_champions_0, 92645
total_damage_dealt_to_objectives_0, 72359
total_damage_taken_0, 119776
average_vision_score_0, 33
total_wards_placed_0, 52
average_creep_score_0, 120
average_champion_experience_0, 14186
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 51645
total_gold_spent_1, 46935
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 33
total_damage_dealt_to_champions_1, 87706
total_damage_dealt_to_objectives_1, 17088
total_damage_taken_1, 120403
average_vision_score_1, 23
total_wards_placed_1, 57
average_creep_score_1, 121
average_champion_experience_1, 13260
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Kassadin
team_comp_1_champ_3, Lucian
team_comp_1_champ_4, Varus
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
