total_gold_earned_0, 69874
total_gold_spent_0, 63815
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 39
total_deaths_0, 29
total_damage_dealt_to_champions_0, 120888
total_damage_dealt_to_objectives_0, 78950
total_damage_taken_0, 137281
average_vision_score_0, 36
total_wards_placed_0, 63
average_creep_score_0, 147
average_champion_experience_0, 17482
dmg_carry_0, 62
obj_carry_0, 62
team_comp_0_champ_1, Garen
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Annie
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Teemo
total_gold_earned_1, 62913
total_gold_spent_1, 59843
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 39
total_damage_dealt_to_champions_1, 108813
total_damage_dealt_to_objectives_1, 45631
total_damage_taken_1, 153122
average_vision_score_1, 30
total_wards_placed_1, 63
average_creep_score_1, 147
average_champion_experience_1, 15012
dmg_carry_1, 48
obj_carry_1, 48
team_comp_1_champ_1, Trundle
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
