total_gold_earned_0, 77309
total_gold_spent_0, 69350
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 44
total_deaths_0, 32
total_damage_dealt_to_champions_0, 133039
total_damage_dealt_to_objectives_0, 90611
total_damage_taken_0, 154921
average_vision_score_0, 41
total_wards_placed_0, 91
average_creep_score_0, 157
average_champion_experience_0, 17849
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Lux
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Zyra
total_gold_earned_1, 73677
total_gold_spent_1, 67560
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 32
total_deaths_1, 44
total_damage_dealt_to_champions_1, 127582
total_damage_dealt_to_objectives_1, 71685
total_damage_taken_1, 160606
average_vision_score_1, 51
total_wards_placed_1, 84
average_creep_score_1, 152
average_champion_experience_1, 16102
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Talon
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
