total_gold_earned_0, 85480
total_gold_spent_0, 79355
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 41
total_deaths_0, 29
total_damage_dealt_to_champions_0, 157520
total_damage_dealt_to_objectives_0, 125771
total_damage_taken_0, 165516
average_vision_score_0, 38
total_wards_placed_0, 75
average_creep_score_0, 177
average_champion_experience_0, 22410
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Xerath
total_gold_earned_1, 72357
total_gold_spent_1, 67508
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 41
total_damage_dealt_to_champions_1, 121444
total_damage_dealt_to_objectives_1, 40254
total_damage_taken_1, 191572
average_vision_score_1, 39
total_wards_placed_1, 67
average_creep_score_1, 182
average_champion_experience_1, 19162
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
