total_gold_earned_0, 53327
total_gold_spent_0, 43985
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 43
total_deaths_0, 11
total_damage_dealt_to_champions_0, 77490
total_damage_dealt_to_objectives_0, 67019
total_damage_taken_0, 90311
average_vision_score_0, 20
total_wards_placed_0, 43
average_creep_score_0, 96
average_champion_experience_0, 12961
dmg_carry_0, 202
obj_carry_0, 202
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Zyra
total_gold_earned_1, 40584
total_gold_spent_1, 38735
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 43
total_damage_dealt_to_champions_1, 59512
total_damage_dealt_to_objectives_1, 25148
total_damage_taken_1, 96692
average_vision_score_1, 17
total_wards_placed_1, 38
average_creep_score_1, 101
average_champion_experience_1, 9711
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, KogMaw
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
