total_gold_earned_0, 39684
total_gold_spent_0, 38250
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 14
total_deaths_0, 33
total_damage_dealt_to_champions_0, 44947
total_damage_dealt_to_objectives_0, 12986
total_damage_taken_0, 87910
average_vision_score_0, 18
total_wards_placed_0, 45
average_creep_score_0, 96
average_champion_experience_0, 9237
dmg_carry_0, 36
obj_carry_0, 36
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, Veigar
team_comp_0_champ_5, Pyke
total_gold_earned_1, 49782
total_gold_spent_1, 44950
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 33
total_deaths_1, 14
total_damage_dealt_to_champions_1, 69828
total_damage_dealt_to_objectives_1, 71919
total_damage_taken_1, 67787
average_vision_score_1, 16
total_wards_placed_1, 37
average_creep_score_1, 95
average_champion_experience_1, 11841
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Ornn
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
