total_gold_earned_0, 59055
total_gold_spent_0, 56610
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 43
total_damage_dealt_to_champions_0, 95916
total_damage_dealt_to_objectives_0, 48322
total_damage_taken_0, 153297
average_vision_score_0, 29
total_wards_placed_0, 67
average_creep_score_0, 129
average_champion_experience_0, 14617
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Shen
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, MissFortune
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Renata
total_gold_earned_1, 69765
total_gold_spent_1, 63434
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 43
total_deaths_1, 19
total_damage_dealt_to_champions_1, 129888
total_damage_dealt_to_objectives_1, 86873
total_damage_taken_1, 129841
average_vision_score_1, 31
total_wards_placed_1, 74
average_creep_score_1, 139
average_champion_experience_1, 16455
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
