total_gold_earned_0, 51309
total_gold_spent_0, 49760
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 38
total_damage_dealt_to_champions_0, 86315
total_damage_dealt_to_objectives_0, 29540
total_damage_taken_0, 114743
average_vision_score_0, 22
total_wards_placed_0, 47
average_creep_score_0, 113
average_champion_experience_0, 12267
dmg_carry_0, 50
obj_carry_0, 50
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Neeko
team_comp_0_champ_4, Veigar
team_comp_0_champ_5, Swain
total_gold_earned_1, 58536
total_gold_spent_1, 52360
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 26
total_damage_dealt_to_champions_1, 92667
total_damage_dealt_to_objectives_1, 69670
total_damage_taken_1, 115212
average_vision_score_1, 19
total_wards_placed_1, 50
average_creep_score_1, 110
average_champion_experience_1, 13436
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Graves
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
