total_gold_earned_0, 52512
total_gold_spent_0, 51095
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 37
total_damage_dealt_to_champions_0, 110784
total_damage_dealt_to_objectives_0, 16120
total_damage_taken_0, 141303
average_vision_score_0, 23
total_wards_placed_0, 60
average_creep_score_0, 112
average_champion_experience_0, 13627
dmg_carry_0, 30
obj_carry_0, 30
team_comp_0_champ_1, Leona
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Karthus
team_comp_0_champ_5, Brand
total_gold_earned_1, 61499
total_gold_spent_1, 58025
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 37
total_deaths_1, 30
total_damage_dealt_to_champions_1, 111882
total_damage_dealt_to_objectives_1, 75104
total_damage_taken_1, 137825
average_vision_score_1, 21
total_wards_placed_1, 46
average_creep_score_1, 129
average_champion_experience_1, 14928
dmg_carry_1, 420
obj_carry_1, 420
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Azir
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
