total_gold_earned_0, 36569
total_gold_spent_0, 34585
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 13
total_deaths_0, 28
total_damage_dealt_to_champions_0, 57817
total_damage_dealt_to_objectives_0, 11660
total_damage_taken_0, 99622
average_vision_score_0, 12
total_wards_placed_0, 41
average_creep_score_0, 87
average_champion_experience_0, 8710
dmg_carry_0, 8
obj_carry_0, 8
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Sejuani
total_gold_earned_1, 50360
total_gold_spent_1, 44275
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 28
total_deaths_1, 13
total_damage_dealt_to_champions_1, 84788
total_damage_dealt_to_objectives_1, 77039
total_damage_taken_1, 89889
average_vision_score_1, 16
total_wards_placed_1, 34
average_creep_score_1, 82
average_champion_experience_1, 10495
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Janna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
