total_gold_earned_0, 50408
total_gold_spent_0, 48425
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 46
total_damage_dealt_to_champions_0, 87655
total_damage_dealt_to_objectives_0, 49673
total_damage_taken_0, 130692
average_vision_score_0, 23
total_wards_placed_0, 54
average_creep_score_0, 89
average_champion_experience_0, 10709
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Gangplank
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Lulu
total_gold_earned_1, 55742
total_gold_spent_1, 47275
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 46
total_deaths_1, 25
total_damage_dealt_to_champions_1, 107817
total_damage_dealt_to_objectives_1, 46596
total_damage_taken_1, 115345
average_vision_score_1, 24
total_wards_placed_1, 57
average_creep_score_1, 103
average_champion_experience_1, 12670
dmg_carry_1, 51
obj_carry_1, 51
team_comp_1_champ_1, Akali
team_comp_1_champ_2, Zac
team_comp_1_champ_3, Talon
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
