total_gold_earned_0, 65198
total_gold_spent_0, 61160
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 42
total_deaths_0, 51
total_damage_dealt_to_champions_0, 112211
total_damage_dealt_to_objectives_0, 60108
total_damage_taken_0, 155874
average_vision_score_0, 29
total_wards_placed_0, 66
average_creep_score_0, 107
average_champion_experience_0, 14614
dmg_carry_0, 202
obj_carry_0, 202
team_comp_0_champ_1, Gnar
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Sona
total_gold_earned_1, 73582
total_gold_spent_1, 63475
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 51
total_deaths_1, 42
total_damage_dealt_to_champions_1, 135179
total_damage_dealt_to_objectives_1, 69766
total_damage_taken_1, 137120
average_vision_score_1, 36
total_wards_placed_1, 75
average_creep_score_1, 118
average_champion_experience_1, 17379
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, TahmKench
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Xerath
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
