total_gold_earned_0, 71596
total_gold_spent_0, 65860
total_baron_kills_0, 2
total_dragon_kills_0, 1
total_inhibitor_kils_0, 2
total_kills_0, 36
total_deaths_0, 32
total_damage_dealt_to_champions_0, 108257
total_damage_dealt_to_objectives_0, 76945
total_damage_taken_0, 140704
average_vision_score_0, 39
total_wards_placed_0, 75
average_creep_score_0, 141
average_champion_experience_0, 17368
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Diana
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Soraka
total_gold_earned_1, 66835
total_gold_spent_1, 62225
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 36
total_damage_dealt_to_champions_1, 105419
total_damage_dealt_to_objectives_1, 69606
total_damage_taken_1, 130784
average_vision_score_1, 31
total_wards_placed_1, 72
average_creep_score_1, 130
average_champion_experience_1, 15290
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
