total_gold_earned_0, 73819
total_gold_spent_0, 69480
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 0
total_kills_0, 40
total_deaths_0, 40
total_damage_dealt_to_champions_0, 149852
total_damage_dealt_to_objectives_0, 83396
total_damage_taken_0, 158975
average_vision_score_0, 46
total_wards_placed_0, 95
average_creep_score_0, 137
average_champion_experience_0, 17355
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Brand
total_gold_earned_1, 74764
total_gold_spent_1, 65975
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 40
total_deaths_1, 40
total_damage_dealt_to_champions_1, 127368
total_damage_dealt_to_objectives_1, 43493
total_damage_taken_1, 179248
average_vision_score_1, 44
total_wards_placed_1, 79
average_creep_score_1, 148
average_champion_experience_1, 18153
dmg_carry_1, 36
obj_carry_1, 36
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Orianna
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
