total_gold_earned_0, 37529
total_gold_spent_0, 33600
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 28
total_damage_dealt_to_champions_0, 56471
total_damage_dealt_to_objectives_0, 10769
total_damage_taken_0, 80835
average_vision_score_0, 14
total_wards_placed_0, 35
average_creep_score_0, 104
average_champion_experience_0, 9533
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Leona
total_gold_earned_1, 52261
total_gold_spent_1, 44300
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 28
total_deaths_1, 10
total_damage_dealt_to_champions_1, 63841
total_damage_dealt_to_objectives_1, 97682
total_damage_taken_1, 93843
average_vision_score_1, 23
total_wards_placed_1, 44
average_creep_score_1, 95
average_champion_experience_1, 12262
dmg_carry_1, 895
obj_carry_1, 895
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
