total_gold_earned_0, 39016
total_gold_spent_0, 33734
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 20
total_deaths_0, 13
total_damage_dealt_to_champions_0, 42663
total_damage_dealt_to_objectives_0, 43137
total_damage_taken_0, 69564
average_vision_score_0, 17
total_wards_placed_0, 38
average_creep_score_0, 75
average_champion_experience_0, 8467
dmg_carry_0, 131
obj_carry_0, 131
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Diana
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Nami
total_gold_earned_1, 37075
total_gold_spent_1, 35970
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 20
total_damage_dealt_to_champions_1, 43904
total_damage_dealt_to_objectives_1, 24403
total_damage_taken_1, 62321
average_vision_score_1, 17
total_wards_placed_1, 48
average_creep_score_1, 74
average_champion_experience_1, 8037
dmg_carry_1, 85
obj_carry_1, 85
team_comp_1_champ_1, Kennen
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
