total_gold_earned_0, 56831
total_gold_spent_0, 51478
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 34
total_deaths_0, 18
total_damage_dealt_to_champions_0, 86178
total_damage_dealt_to_objectives_0, 94716
total_damage_taken_0, 95654
average_vision_score_0, 14
total_wards_placed_0, 30
average_creep_score_0, 114
average_champion_experience_0, 12784
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Xerath
total_gold_earned_1, 50262
total_gold_spent_1, 48550
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 34
total_damage_dealt_to_champions_1, 71040
total_damage_dealt_to_objectives_1, 23966
total_damage_taken_1, 103012
average_vision_score_1, 22
total_wards_placed_1, 50
average_creep_score_1, 111
average_champion_experience_1, 12389
dmg_carry_1, 222
obj_carry_1, 222
team_comp_1_champ_1, Jinx
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
