total_gold_earned_0, 45582
total_gold_spent_0, 43358
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 30
total_damage_dealt_to_champions_0, 63293
total_damage_dealt_to_objectives_0, 27512
total_damage_taken_0, 95435
average_vision_score_0, 16
total_wards_placed_0, 32
average_creep_score_0, 109
average_champion_experience_0, 10255
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 54236
total_gold_spent_1, 46600
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 30
total_deaths_1, 18
total_damage_dealt_to_champions_1, 71686
total_damage_dealt_to_objectives_1, 74141
total_damage_taken_1, 89603
average_vision_score_1, 21
total_wards_placed_1, 50
average_creep_score_1, 111
average_champion_experience_1, 12263
dmg_carry_1, 106
obj_carry_1, 106
team_comp_1_champ_1, Volibear
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Malphite
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
