total_gold_earned_0, 42816
total_gold_spent_0, 38795
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 25
total_deaths_0, 16
total_damage_dealt_to_champions_0, 63100
total_damage_dealt_to_objectives_0, 52283
total_damage_taken_0, 72485
average_vision_score_0, 15
total_wards_placed_0, 36
average_creep_score_0, 89
average_champion_experience_0, 9203
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Twitch
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Swain
team_comp_0_champ_4, Nilah
team_comp_0_champ_5, Renata
total_gold_earned_1, 35360
total_gold_spent_1, 33233
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 25
total_damage_dealt_to_champions_1, 48954
total_damage_dealt_to_objectives_1, 10354
total_damage_taken_1, 76645
average_vision_score_1, 11
total_wards_placed_1, 31
average_creep_score_1, 89
average_champion_experience_1, 8391
dmg_carry_1, 15
obj_carry_1, 15
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
