total_gold_earned_0, 55692
total_gold_spent_0, 52910
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 35
total_damage_dealt_to_champions_0, 82827
total_damage_dealt_to_objectives_0, 30071
total_damage_taken_0, 122326
average_vision_score_0, 30
total_wards_placed_0, 71
average_creep_score_0, 132
average_champion_experience_0, 13466
dmg_carry_0, 143
obj_carry_0, 143
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Zyra
total_gold_earned_1, 67656
total_gold_spent_1, 59925
total_baron_kills_1, 2
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 35
total_deaths_1, 19
total_damage_dealt_to_champions_1, 99202
total_damage_dealt_to_objectives_1, 108568
total_damage_taken_1, 121254
average_vision_score_1, 27
total_wards_placed_1, 65
average_creep_score_1, 128
average_champion_experience_1, 16627
dmg_carry_1, 517
obj_carry_1, 517
team_comp_1_champ_1, Pantheon
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Braum
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
