total_gold_earned_0, 84237
total_gold_spent_0, 79250
total_baron_kills_0, 1
total_dragon_kills_0, 5
total_inhibitor_kils_0, 3
total_kills_0, 43
total_deaths_0, 48
total_damage_dealt_to_champions_0, 146906
total_damage_dealt_to_objectives_0, 96927
total_damage_taken_0, 201309
average_vision_score_0, 47
total_wards_placed_0, 81
average_creep_score_0, 165
average_champion_experience_0, 21115
dmg_carry_0, 127
obj_carry_0, 127
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Lissandra
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Morgana
total_gold_earned_1, 73838
total_gold_spent_1, 72215
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 48
total_deaths_1, 43
total_damage_dealt_to_champions_1, 162769
total_damage_dealt_to_objectives_1, 45426
total_damage_taken_1, 177397
average_vision_score_1, 43
total_wards_placed_1, 97
average_creep_score_1, 135
average_champion_experience_1, 18903
dmg_carry_1, 7
obj_carry_1, 7
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Leblanc
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
