total_gold_earned_0, 39294
total_gold_spent_0, 31210
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 27
total_deaths_0, 8
total_damage_dealt_to_champions_0, 42441
total_damage_dealt_to_objectives_0, 53695
total_damage_taken_0, 47843
average_vision_score_0, 11
total_wards_placed_0, 31
average_creep_score_0, 71
average_champion_experience_0, 7998
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Morgana
total_gold_earned_1, 28002
total_gold_spent_1, 24758
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 7
total_deaths_1, 27
total_damage_dealt_to_champions_1, 29495
total_damage_dealt_to_objectives_1, 10582
total_damage_taken_1, 55372
average_vision_score_1, 12
total_wards_placed_1, 30
average_creep_score_1, 70
average_champion_experience_1, 6394
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, JarvanIV
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
