total_gold_earned_0, 91508
total_gold_spent_0, 84285
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 52
total_deaths_0, 49
total_damage_dealt_to_champions_0, 172848
total_damage_dealt_to_objectives_0, 95964
total_damage_taken_0, 209187
average_vision_score_0, 34
total_wards_placed_0, 76
average_creep_score_0, 168
average_champion_experience_0, 23122
dmg_carry_0, 114
obj_carry_0, 114
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Zyra
total_gold_earned_1, 87476
total_gold_spent_1, 83600
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 2
total_kills_1, 49
total_deaths_1, 52
total_damage_dealt_to_champions_1, 156075
total_damage_dealt_to_objectives_1, 113537
total_damage_taken_1, 194772
average_vision_score_1, 35
total_wards_placed_1, 75
average_creep_score_1, 148
average_champion_experience_1, 21537
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Cassiopeia
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
