total_gold_earned_0, 29397
total_gold_spent_0, 26495
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 5
total_deaths_0, 45
total_damage_dealt_to_champions_0, 32220
total_damage_dealt_to_objectives_0, 16628
total_damage_taken_0, 71245
average_vision_score_0, 12
total_wards_placed_0, 28
average_creep_score_0, 65
average_champion_experience_0, 7285
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Leona
total_gold_earned_1, 47950
total_gold_spent_1, 43950
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 45
total_deaths_1, 5
total_damage_dealt_to_champions_1, 54888
total_damage_dealt_to_objectives_1, 46460
total_damage_taken_1, 53050
average_vision_score_1, 21
total_wards_placed_1, 40
average_creep_score_1, 87
average_champion_experience_1, 10580
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Shaco
team_comp_1_champ_3, Blitzcrank
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
