total_gold_earned_0, 60031
total_gold_spent_0, 51085
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 2
total_kills_0, 33
total_deaths_0, 29
total_damage_dealt_to_champions_0, 84571
total_damage_dealt_to_objectives_0, 59320
total_damage_taken_0, 104975
average_vision_score_0, 26
total_wards_placed_0, 68
average_creep_score_0, 97
average_champion_experience_0, 13837
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Evelynn
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Morgana
total_gold_earned_1, 54500
total_gold_spent_1, 49745
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 33
total_damage_dealt_to_champions_1, 80069
total_damage_dealt_to_objectives_1, 49263
total_damage_taken_1, 107960
average_vision_score_1, 34
total_wards_placed_1, 65
average_creep_score_1, 104
average_champion_experience_1, 12165
dmg_carry_1, 81
obj_carry_1, 81
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Rengar
team_comp_1_champ_3, Ezreal
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Soraka
gameLengthMin, 31
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
