total_gold_earned_0, 38578
total_gold_spent_0, 36050
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 16
total_deaths_0, 34
total_damage_dealt_to_champions_0, 43015
total_damage_dealt_to_objectives_0, 20961
total_damage_taken_0, 86288
average_vision_score_0, 18
total_wards_placed_0, 46
average_creep_score_0, 80
average_champion_experience_0, 8627
dmg_carry_0, 122
obj_carry_0, 122
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Ezreal
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Bard
total_gold_earned_1, 51738
total_gold_spent_1, 43325
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 34
total_deaths_1, 16
total_damage_dealt_to_champions_1, 72587
total_damage_dealt_to_objectives_1, 62841
total_damage_taken_1, 67514
average_vision_score_1, 21
total_wards_placed_1, 40
average_creep_score_1, 96
average_champion_experience_1, 11358
dmg_carry_1, 238
obj_carry_1, 238
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Kindred
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
