total_gold_earned_0, 107327
total_gold_spent_0, 94570
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 64
total_deaths_0, 63
total_damage_dealt_to_champions_0, 243288
total_damage_dealt_to_objectives_0, 122507
total_damage_taken_0, 217286
average_vision_score_0, 54
total_wards_placed_0, 133
average_creep_score_0, 183
average_champion_experience_0, 27612
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Velkoz
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Nami
total_gold_earned_1, 100262
total_gold_spent_1, 102610
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 63
total_deaths_1, 64
total_damage_dealt_to_champions_1, 182692
total_damage_dealt_to_objectives_1, 70619
total_damage_taken_1, 280751
average_vision_score_1, 59
total_wards_placed_1, 126
average_creep_score_1, 169
average_champion_experience_1, 22026
dmg_carry_1, 8
obj_carry_1, 8
team_comp_1_champ_1, Yasuo
team_comp_1_champ_2, Rammus
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Vladimir
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
