total_gold_earned_0, 32373
total_gold_spent_0, 29210
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 7
total_deaths_0, 38
total_damage_dealt_to_champions_0, 31002
total_damage_dealt_to_objectives_0, 17086
total_damage_taken_0, 88554
average_vision_score_0, 6
total_wards_placed_0, 19
average_creep_score_0, 78
average_champion_experience_0, 8220
dmg_carry_0, 223
obj_carry_0, 223
team_comp_0_champ_1, TahmKench
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Nasus
total_gold_earned_1, 50444
total_gold_spent_1, 44855
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 38
total_deaths_1, 7
total_damage_dealt_to_champions_1, 72212
total_damage_dealt_to_objectives_1, 52482
total_damage_taken_1, 59936
average_vision_score_1, 13
total_wards_placed_1, 34
average_creep_score_1, 97
average_champion_experience_1, 10593
dmg_carry_1, 45
obj_carry_1, 45
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Veigar
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
