total_gold_earned_0, 63071
total_gold_spent_0, 60175
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 31
total_deaths_0, 44
total_damage_dealt_to_champions_0, 112047
total_damage_dealt_to_objectives_0, 36658
total_damage_taken_0, 119797
average_vision_score_0, 25
total_wards_placed_0, 48
average_creep_score_0, 131
average_champion_experience_0, 15841
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Senna
total_gold_earned_1, 70365
total_gold_spent_1, 63950
total_baron_kills_1, 0
total_dragon_kills_1, 5
total_inhibitor_kils_1, 3
total_kills_1, 44
total_deaths_1, 33
total_damage_dealt_to_champions_1, 95235
total_damage_dealt_to_objectives_1, 76010
total_damage_taken_1, 157576
average_vision_score_1, 28
total_wards_placed_1, 62
average_creep_score_1, 134
average_champion_experience_1, 17257
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
