total_gold_earned_0, 41481
total_gold_spent_0, 35045
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 8
total_damage_dealt_to_champions_0, 54834
total_damage_dealt_to_objectives_0, 29869
total_damage_taken_0, 57020
average_vision_score_0, 22
total_wards_placed_0, 49
average_creep_score_0, 76
average_champion_experience_0, 9618
dmg_carry_0, 62
obj_carry_0, 62
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Anivia
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Zyra
total_gold_earned_1, 29289
total_gold_spent_1, 27435
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 8
total_deaths_1, 30
total_damage_dealt_to_champions_1, 36386
total_damage_dealt_to_objectives_1, 2674
total_damage_taken_1, 67295
average_vision_score_1, 11
total_wards_placed_1, 33
average_creep_score_1, 73
average_champion_experience_1, 7263
dmg_carry_1, 157
obj_carry_1, 157
team_comp_1_champ_1, Gangplank
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Morgana
gameLengthMin, 21
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
