total_gold_earned_0, 50124
total_gold_spent_0, 42491
total_baron_kills_0, 1
total_dragon_kills_0, 0
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 17
total_damage_dealt_to_champions_0, 83406
total_damage_dealt_to_objectives_0, 43040
total_damage_taken_0, 79439
average_vision_score_0, 22
total_wards_placed_0, 40
average_creep_score_0, 94
average_champion_experience_0, 10473
dmg_carry_0, 99
obj_carry_0, 99
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Nami
total_gold_earned_1, 39895
total_gold_spent_1, 36300
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 29
total_damage_dealt_to_champions_1, 57151
total_damage_dealt_to_objectives_1, 37521
total_damage_taken_1, 103579
average_vision_score_1, 15
total_wards_placed_1, 40
average_creep_score_1, 87
average_champion_experience_1, 8928
dmg_carry_1, 115
obj_carry_1, 115
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Vladimir
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Ziggs
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
