total_gold_earned_0, 66314
total_gold_spent_0, 61405
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 35
total_deaths_0, 26
total_damage_dealt_to_champions_0, 79401
total_damage_dealt_to_objectives_0, 53759
total_damage_taken_0, 114641
average_vision_score_0, 32
total_wards_placed_0, 68
average_creep_score_0, 148
average_champion_experience_0, 16088
dmg_carry_0, 39
obj_carry_0, 39
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Swain
total_gold_earned_1, 58387
total_gold_spent_1, 55525
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 35
total_damage_dealt_to_champions_1, 82231
total_damage_dealt_to_objectives_1, 24047
total_damage_taken_1, 103915
average_vision_score_1, 28
total_wards_placed_1, 74
average_creep_score_1, 138
average_champion_experience_1, 14625
dmg_carry_1, 126
obj_carry_1, 126
team_comp_1_champ_1, Jayce
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Ziggs
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
