total_gold_earned_0, 74400
total_gold_spent_0, 66985
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 34
total_deaths_0, 38
total_damage_dealt_to_champions_0, 127277
total_damage_dealt_to_objectives_0, 94884
total_damage_taken_0, 156977
average_vision_score_0, 37
total_wards_placed_0, 81
average_creep_score_0, 153
average_champion_experience_0, 17782
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Yasuo
team_comp_0_champ_2, Mordekaiser
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Lulu
total_gold_earned_1, 69590
total_gold_spent_1, 72420
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 34
total_damage_dealt_to_champions_1, 123068
total_damage_dealt_to_objectives_1, 65263
total_damage_taken_1, 162649
average_vision_score_1, 36
total_wards_placed_1, 72
average_creep_score_1, 130
average_champion_experience_1, 16456
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, TahmKench
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
